Epoch,Train Loss,Train MSE,Train MAE,Train R2,Total Params,Trainable Params,Non-trainable Params,Val Loss,Val MSE,Val MAE,Val R2
1,2.4245622305682413,2.446498,0.54486275,-85.26917266845703,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
2,0.07185462986429532,0.07186883,0.20854107,-1.5201828479766846,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
3,0.06040305865031702,0.060495898,0.19110382,-1.1177481412887573,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
4,0.0547908598350154,0.054850183,0.18146685,-0.9022608399391174,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
5,0.053469427619819286,0.053502094,0.17959331,-0.8533923625946045,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
6,0.051259655229471346,0.051273305,0.17388764,-0.7568226456642151,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
7,0.057460022883282766,0.057459306,0.18611315,-0.9883676767349243,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
8,0.059171166408945014,0.05925295,0.1890588,-1.0858676433563232,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
9,0.05293722367948956,0.05306489,0.17880532,-0.8392453789710999,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
10,0.050830572843551636,0.050715517,0.1726724,-0.7525157332420349,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
11,0.058639905518955655,0.05878318,0.18851651,-1.0586392879486084,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
12,0.05230337933257774,0.052308172,0.17593133,-0.7993835210800171,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
13,0.048617399401134916,0.048608933,0.17001905,-0.6532564163208008,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
14,0.050713184669061946,0.050676763,0.17466837,-0.7443914413452148,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
15,0.04945991822966823,0.049425997,0.1723242,-0.7241936922073364,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
16,0.053206689931728224,0.05328914,0.17691533,-0.839243471622467,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
17,0.04807478865539586,0.048161294,0.16915807,-0.6922394037246704,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
18,0.04924380185979384,0.049123727,0.17217928,-0.6930117607116699,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
19,0.05074481666088104,0.050748374,0.17456746,-0.7886531352996826,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
20,0.04779072133479295,0.047938183,0.16985059,-0.6497185230255127,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
21,0.048341577113778504,0.04840301,0.16950348,-0.6596121191978455,139586628,119562244,20024384,0.035191164910793306,0.030121997,0.1355825,0.009567052125930786
