Epoch,Train Loss,Train MSE,Train MAE,Train R2,Total Params,Trainable Params,Non-trainable Params,Val Loss,Val MSE,Val MAE,Val R2
1,0.21895216046660035,0.21970303,0.37779766,-7.77423095703125,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
2,0.11949124187231064,0.11952205,0.28345823,-3.5901618003845215,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
3,0.09674166639645894,0.09679393,0.25251114,-2.6672699451446533,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
4,0.08597547119414364,0.086088106,0.2356347,-2.2599775791168213,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
5,0.07844654719034831,0.07855761,0.22553825,-1.9397778511047363,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
6,0.07458815682265493,0.07471601,0.21823037,-1.7607612609863281,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
7,0.06873082286781734,0.0687022,0.2087833,-1.5582189559936523,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
8,0.06353426117587972,0.06356977,0.20021977,-1.3064777851104736,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
9,0.06042458751687297,0.060499143,0.19377531,-1.2035915851593018,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
10,0.058489769145294475,0.058459133,0.1897683,-1.0988779067993164,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
11,0.055243002319777454,0.055246715,0.18531293,-0.966507077217102,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
12,0.05382267151165892,0.053819448,0.18368298,-0.9089000225067139,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
13,0.051014117896556854,0.051034767,0.17693098,-0.8096258640289307,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
14,0.05044019387827979,0.05043652,0.1760759,-0.7944673299789429,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
15,0.046943242765135236,0.046936136,0.16969173,-0.6607988476753235,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
16,0.04641221463680267,0.04640655,0.16778043,-0.639299750328064,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
17,0.04369349377574744,0.043732528,0.16313244,-0.5350176095962524,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
18,0.04212316787905163,0.04214468,0.15986605,-0.4589742124080658,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
19,0.03993310130856655,0.039956152,0.15535937,-0.39316195249557495,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
20,0.03870137967169285,0.03878776,0.15270618,-0.3490946888923645,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
21,0.03793263352579541,0.037874307,0.15171176,-0.32489123940467834,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
22,0.03871559268898434,0.038713332,0.15307905,-0.3407047390937805,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
23,0.03578419893704079,0.035708793,0.1461038,-0.2296602725982666,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
24,0.036036407161090106,0.03604652,0.14701717,-0.241174578666687,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
25,0.034434603734148875,0.034460187,0.143667,-0.18790653347969055,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
26,0.03404198083336706,0.0340403,0.14313656,-0.170655757188797,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
27,0.033162905731134944,0.033139188,0.14116596,-0.1427013874053955,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
28,0.03210942536868431,0.032124076,0.13829012,-0.10501936078071594,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
29,0.03196525573730469,0.03195662,0.13784629,-0.09217484295368195,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
30,0.031405426630819286,0.031501066,0.13669363,-0.08093701303005219,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
31,0.031153438750792434,0.031142902,0.1355378,-0.06769344210624695,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
32,0.030611767744024593,0.030586248,0.13444829,-0.045993655920028687,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
33,0.030257742576025152,0.030281749,0.13362367,-0.03532400727272034,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
34,0.029568835954975198,0.029616505,0.13185649,-0.01192106306552887,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
35,0.029053756760226354,0.02905279,0.13099395,0.004058361053466797,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
36,0.02895020217531257,0.028959962,0.13071445,0.010942861437797546,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
37,0.028743771008319326,0.028704468,0.13033329,0.019205346703529358,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
38,0.029308039901985064,0.02928849,0.13155104,0.0004983246326446533,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
39,0.02873243536386225,0.028731959,0.13049342,0.014987081289291382,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
40,0.028109433198416675,0.028124722,0.12854834,0.035385385155677795,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
41,0.02820803935605067,0.02819852,0.12892179,0.03654840588569641,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
42,0.027785341634794517,0.027778804,0.12748341,0.04702107608318329,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
43,0.027788577256379305,0.027766332,0.12798733,0.04647679626941681,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
44,0.027253644954827096,0.027245695,0.1262975,0.061130017042160034,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
45,0.027486638614424953,0.027468935,0.1271313,0.05166804790496826,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
46,0.027311881038325804,0.027251143,0.12677614,0.06089697778224945,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
47,0.026810240069473232,0.026823847,0.12514538,0.07476097345352173,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
48,0.026730251464026945,0.026759034,0.12513833,0.0772322416305542,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
49,0.02719862565950111,0.027128994,0.12577274,0.06409011781215668,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
50,0.02682152355986613,0.026722213,0.12536773,0.0846032202243805,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
51,0.026286003076367907,0.026296284,0.123809114,0.0907878428697586,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
52,0.026095138310834213,0.026102822,0.12348417,0.09219594299793243,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
53,0.026243409969740443,0.02627258,0.12379195,0.09203442931175232,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
54,0.026579576509970206,0.026590269,0.124583974,0.08442433178424835,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
55,0.025945832469949016,0.025963385,0.123040065,0.09826691448688507,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
56,0.025710258012016613,0.02575204,0.12222956,0.10953125357627869,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
57,0.0256742256934996,0.025669532,0.1224637,0.11490949988365173,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
58,0.025566439661714766,0.025517752,0.12186226,0.116755411028862,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
59,0.025300868752378004,0.02530777,0.12143722,0.11592349410057068,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
60,0.024842292622283654,0.024887381,0.11986862,0.13607677817344666,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
61,0.025379888713359833,0.025367511,0.12105665,0.11594025790691376,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
62,0.02492777685876246,0.024920978,0.120187484,0.13315071165561676,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
63,0.02468317823001632,0.024726223,0.119650155,0.13866515457630157,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
64,0.024878947133267368,0.024827432,0.11943221,0.13796357810497284,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
65,0.024709322386317782,0.024756834,0.11981839,0.13257600367069244,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
66,0.025078559018395567,0.025053905,0.12023502,0.12901026010513306,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
67,0.024973821515838306,0.024932563,0.11961206,0.1343551129102707,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
68,0.024073742192100595,0.024064444,0.11826731,0.15474550426006317,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
69,0.02416227675146527,0.024140947,0.117647775,0.16018320620059967,6516100,6516100,0,0.032767396047711374,0.028719623,0.13092464,0.06676842272281647
