Epoch,Train Loss,Train MSE,Train MAE,Train R2,Total Params,Trainable Params,Non-trainable Params,Val Loss,Val MSE,Val MAE,Val R2
1,156.07779740073062,157.52203,5.9195833,-6451.96435546875,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
2,0.5069160803600594,0.51015955,0.54278463,-17.494518280029297,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
3,0.11249448993691692,0.11306612,0.244309,-2.954749584197998,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
4,0.06541129312029591,0.065596774,0.17899102,-1.2535479068756104,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
5,0.045913794112426264,0.045990594,0.15528946,-0.5999873876571655,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
6,0.03728738213302912,0.037354913,0.1425686,-0.28134986758232117,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
7,0.03880433627852687,0.038859546,0.13275374,-0.3580247163772583,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
8,0.0796922354924458,0.08019752,0.14196864,-1.9247018098831177,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
9,0.13064915052166692,0.13144808,0.15091291,-3.9799253940582275,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
10,0.1451758035907039,0.14595442,0.14215869,-4.662971496582031,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
11,0.17208017105305637,0.17309788,0.17530283,-5.91546106338501,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
12,0.12813227899648524,0.12880544,0.17044888,-4.314014434814453,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
13,0.06080201454460621,0.060718697,0.15682033,-1.5130672454833984,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
14,0.02668467136444869,0.026213089,0.11144599,-0.038278549909591675,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
15,0.02906675512591998,0.029147657,0.11024497,-0.1805715262889862,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
16,0.023269164686401684,0.02333755,0.10611293,0.051277339458465576,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
17,0.019629977884943837,0.019644573,0.09945274,0.21162641048431396,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
18,0.02472343875302209,0.02481048,0.10050018,-0.09540204703807831,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
19,0.04406738598589544,0.044221237,0.10785484,-1.2522974014282227,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
20,0.037944085171653166,0.038094755,0.123929396,-0.8740837574005127,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
21,0.018261519398678233,0.01830922,0.09727584,0.2719927430152893,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
22,0.019266878841099917,0.019316562,0.091639385,0.24816274642944336,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
23,0.0276390397231336,0.027637262,0.09021905,-0.05223532021045685,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
24,0.04845518749897127,0.04871588,0.118211016,-0.8410043716430664,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
25,0.062308322396819237,0.062753074,0.11668825,-1.4076133966445923,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
26,0.15669102373498459,0.15766127,0.16282405,-4.971250057220459,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
27,0.30985980370530375,0.3123189,0.20758104,-11.003085136413574,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
28,0.4491330116849255,0.45230815,0.27219394,-16.16543960571289,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
29,0.38224980393769564,0.3841187,0.22457685,-13.85739803314209,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
30,0.2891225049065219,0.29072762,0.24162467,-10.291375160217285,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
31,0.14974651099355132,0.15058604,0.1892109,-5.067747592926025,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
32,0.08719427911219774,0.08752001,0.17882644,-2.7165000438690186,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
33,0.06900515966117382,0.06934899,0.14794764,-1.827207088470459,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
34,0.11276544175214237,0.11248567,0.15621737,-3.655268907546997,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
35,0.07156466561611052,0.07189453,0.14828835,-1.8396961688995361,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
36,0.03808197137658243,0.038223118,0.13349414,-0.47309786081314087,49630404,29606020,20024384,0.07239250466227531,0.07244152,0.19238414,-1.3479859828948975
